a,b,K,N,epsilon,Best x,Best f(x),Initial Population
-7,7,2,100,0.001,-0.684351873044938,16.862806495314945,"['0101101001111001', '1110001011010001']"
-7,7,6,100,0.001,-0.06675822079804661,-0.17035629363066498,"['1010101001111110', '1100111110010111', '0000001101000011', '0011011100011110', '1110110111001000', '1111110010100110']"
-7,7,10,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1010001111111011', '0111011101010110', '1000011011111101', '0001110110100001', '1100111011100000', '1011000011001110', '1001100100001111', '1011010011011100', '0001111000011010', '1000010111110101']"
-7,7,14,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1010100001011011', '0111100101001010', '1111000010111011', '1010101110101011', '1001100111010101', '1111000001100000', '1111110110110000', '0001000001100011', '0101011001000110', '1100111000011110', '1110001110111111', '0000010101001000', '0111111011010010', '1101001000111101']"
-7,7,18,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1011001010110010', '1000100001111010', '0101111101000000', '0010000010010000', '0100101100101100', '1110111001000111', '1101100001011010', '0010010100111010', '1001111011001111', '0000011111111110', '1010000111000100', '0110010000110010', '0100100111101100', '0010110011101111', '0000000001101111', '1000000110111000', '1001000011011111', '1100011010101000']"
-7,7,22,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1110011100001111', '0011100110101010', '1000011011001001', '1000001101000101', '1011110100011101', '1110011010001110', '0101011010011110', '0100001100101111', '1101000111000010', '0110111110001010', '0101000100010101', '1011001110000011', '1000111100010010', '0001111001010110', '1101011100110001', '0000110011110110', '0011001010100110', '0010101101111101', '0001011110110010', '0110000010010010', '1100111000011110', '1001100100110011']"
-7,7,26,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1100001111100101', '1101100110010101', '0010010101100101', '0011111100101000', '0001001111100110', '1000111000010101', '1011110001100000', '0001011100110100', '0110111110001000', '0010010100010011', '1110000011110011', '0010011101101001', '1111010001011100', '0000000010101100', '1100100011101010', '1010011100000101', '0100011100101110', '0110100011110100', '0100010011110110', '1110001110000010', '0010100001010110', '0000100001010001', '0001001111011001', '0001101110100110', '1001011101001000', '0100010110100010']"
-7,7,2,50,0.001,-1.445502403295949,102.56302518230709,"['0010000110010100', '0110100011100110']"
-7,7,6,50,0.001,-0.07188525215533659,-0.16965527380052028,"['0101010011011011', '1010100010011001', '1010011111001101', '1110110001000000', '0110000001101001', '1000001101110100']"
-7,7,10,50,0.001,-0.0676127260242616,-0.17037852301502615,"['1011100010010111', '0000001001100100', '1001110011100001', '1011000001011001', '0101111111101011', '1010110001111001', '0111111011110010', '1110011110100010', '0101111111101010', '1000011010000101']"
-7,7,14,50,0.001,-0.0676127260242616,-0.17037852301502615,"['0100000110011001', '0100011011100101', '0001011011011101', '1010110101010001', '1110010101110011', '0100010100001000', '0001001110111100', '1111011101101100', '0110111011101111', '1000101001101001', '0010001111111001', '1111100000101010', '0101001011110001', '0100111001011000']"
-7,7,18,50,0.001,-0.0676127260242616,-0.17037852301502615,"['0011000111011101', '0111001100000110', '1110000010110001', '0000001010010010', '1110101101101111', '1111011001011010', '1011111101001000', '1100111110000010', '1110110110001100', '1110101001010001', '1101000101111000', '0010111111100000', '0010111010000010', '0010010010001010', '0110010111010110', '1100001110011100', '0111010011110000', '1010011001010110']"
-7,7,22,50,0.001,-0.0676127260242616,-0.17037852301502615,"['1001100110101000', '0110010111001101', '1111101110000010', '1000010000100000', '1101011000011110', '0111000111010001', '0100110010000010', '1101001011100011', '0111010011111011', '0000000100100011', '1001110001001011', '0111101000101000', '1001100001101001', '0001110111011101', '0101000001101111', '0110011101011000', '0010111011100010', '1011010010001111', '0101010101011101', '0111110100001110', '0011010011010110', '1011101110111110']"
-7,7,26,50,0.001,-0.0676127260242616,-0.17037852301502615,"['1010101000000110', '0000000011111101', '1001010110101111', '1110111101001011', '1001000011111110', '0110001100000011', '1110111000010100', '0100101001000000', '1110010110011011', '1111101001010001', '0111111000110111', '0010000100001011', '1101111011100111', '1101010101011001', '0011101110100011', '0011101110110111', '1011110000110011', '1010000100110110', '0111000011000110', '0001100010110100', '1011000101011001', '1110111111100110', '0101100000101000', '1111111011110011', '1110100110110011', '0101000000100000']"
-7,7,2,100,0.001,1.0244449530785076,33.253775989518026,"['1001101101110101', '0101000101001111']"
-7,7,6,100,0.001,-0.06739909971770786,-0.17037817433478236,"['0111001101011101', '0001010110110101', '1011011100111011', '0111000001101101', '1110000001001100', '1110001010111110']"
-7,7,10,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0011110000110001', '0010110100100000', '0100110001111010', '1010000010001100', '0000111111100111', '1011010111011100', '1000010000111000', '0110000011111110', '0100010110111111', '0001011011011111']"
-7,7,14,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1100011111101110', '0010011011010011', '1010100101111101', '0110100001101011', '0101001000101000', '0100110101011111', '0000100000011010', '0111100000101011', '1000001111101100', '1011000000101100', '0011111101001111', '0010011011100101', '1110110110000110', '1010001110000100']"
-7,7,18,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1101000111110010', '0001011010001011', '0111100001000001', '0010110000001101', '0101111100111100', '1000111000001101', '0000110000001111', '1001011000000110', '1100001101000101', '0010000111010010', '0001000001001000', '1111010101011111', '1010101100001010', '0101110101001001', '0011110011000101', '1011001000000001', '0010110000111100', '0011011000010110']"
-7,7,22,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1110001011110100', '0000110011001111', '0000001101010000', '1110001001001110', '1001000100110010', '1110010111101111', '1111010101000001', '1000011010110011', '1001010101111011', '0101001110000011', '1011000010111111', '0011111000011000', '0110111100101000', '0101000010000110', '0111101011001100', '1111110010111000', '0111111010111011', '1100001000101110', '0111000101110001', '1111110000101010', '1000010110011101', '0110010110111111']"
-7,7,26,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1001101100001100', '0111010101001110', '1101111111100100', '1100101000011001', '1101001011001101', '1100111100110011', '1100111010010011', '1101110100100010', '1001100110100010', '0111010011000101', '0101100100111010', '1010000000010000', '1010101101001100', '1111000001100011', '1010010110011111', '1010010010111101', '0110000110000111', '1010111100000010', '1101011010101111', '1010010100001001', '1010001011101011', '1101111110001100', '0001111111010101', '1001100011110101', '0001010101010101', '0000100011111001']"
-7,7,4,100,0.001,-0.06547646295872411,-0.17021883028921556,"['0001010100110111', '0110111110010001', '1001000110110000', '1000110110011010']"
-7,7,8,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1101100010000111', '1111011101101100', '1110001101010101', '0001100011110001', '0000010110010010', '1101011110111011', '1100110011110100', '1010110111010000']"
-7,7,12,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0100000001100000', '1010110110011000', '1110100110001101', '0101111001111100', '0001011100110110', '1110101010000111', '1011000000110101', '0110010110001101', '0011011111101101', '0111100000100100', '0111011110010001', '0011001000100001']"
-7,7,16,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1001001100100110', '0110000101110110', '0001001010110011', '0001010100111111', '1000000101011001', '0111111001001110', '0010000001001000', '1110011001001000', '1001011100001001', '0011010000001011', '1110100010100101', '0111101001000110', '1010101000011110', '0001101100110001', '1010110010010110', '1111000111100001']"
-7,7,20,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000101010100100', '1111110011101011', '0010101011111101', '1010110100111101', '1101101000001010', '1011100010010010', '0000101111011011', '1110100100111011', '0010001100011001', '1111111111010000', '0111000101001011', '0100110110001000', '0010100100101110', '1110110010011000', '0001010110001000', '0111101110101011', '1011011001111001', '0110010011110100', '1000110101000011', '0100000111111100']"
-7,7,24,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000111000101100', '0000111111101101', '0111101001000010', '0100101000111010', '0100100001110110', '1111001101101000', '0110001101000100', '1101011111011101', '0101100111011110', '1000010000101110', '0000101001011111', '1111010111001111', '1100001111110000', '1111010001110100', '0011111110110100', '1111011101011101', '1111101000111010', '1011100000111111', '0110011100010011', '0001101110101001', '1010110010101000', '0010010010101101', '1101100011000110', '1101011001001110']"
-7,7,28,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000001000100100', '0001011001111001', '1100101110110101', '0010010100011110', '0100000111110100', '0011101100101101', '0100011010101001', '1100100100010010', '1101000000111111', '1100110000010010', '0101010001000000', '1011110010011001', '1010011101111110', '0010001110101001', '1000001101111011', '0011110111101111', '1010011111000011', '1110011001101110', '0011111101101000', '0000110111110111', '1000100111000000', '1011000100000010', '1110011100011111', '1101111011110000', '1011000110101000', '1001011000100000', '0010101110010100', '1101100000011101']"
-7,7,4,30,0.001,-0.05329976348516041,-0.1627054403476852,"['1010011101111100', '0001010110110111', '0111101110011110', '1100000110101000']"
-7,7,8,30,0.001,-0.06868085755703035,-0.1703281527233346,"['0100001110001000', '0001010100101001', '1101101100111101', '1010010000100011', '0011100010110101', '1101110001110001', '1111110110110100', '1011001011100111']"
-7,7,12,30,0.001,-0.0676127260242616,-0.17037852301502615,"['1011001111111101', '1101101000011101', '0011000110000101', '0010011001001110', '1000000110011101', '0100011111110110', '0111000110110101', '1000011010110101', '0001001100111100', '0111010110000111', '1010010011111110', '1010110110001010']"
-7,7,16,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0000111110001011', '0100011101110001', '1110001111100111', '1111010000100101', '1111001110100111', '1111001110111011', '0111110011011001', '1001011000110110', '1111110100111000', '1001010000000100', '1101101111101011', '0011100110111000', '1001011111101100', '1111101100010011', '1011000111000110', '0101110100011110']"
-7,7,20,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0100101010100011', '1010000010001110', '1101100000111011', '1001101111101001', '0111010100001010', '1000101100100101', '1000101100110110', '1010001110010100', '0101110011100000', '1010111001010111', '0110000010100001', '0010100101010010', '0001101111010010', '0001001101001111', '0010010110110101', '0001000000111000', '1001100010101110', '1100110111001101', '1100010110111111', '0100010111100101']"
-7,7,24,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0101010110010111', '0011001010101000', '1100010001001110', '0101001011100110', '1000110110111101', '1111101101101001', '1010001011110101', '1110000010110101', '0011110111001001', '1010001110101010', '1101110110001000', '1110101111100101', '1011001000111110', '0101001000011100', '1110110110111111', '0000010000000100', '0001001111000101', '1001110001100111', '0001000010010110', '0101100100100011', '1001110100001000', '1111110010110001', '0111001001000110', '0111111100001100']"
-7,7,28,30,0.001,-0.0676127260242616,-0.17037852301502615,"['1000000010100000', '1111110000101101', '0110000100111011', '1111110110001101', '1110110010011111', '1101110010001011', '1111111000001101', '0100000101001100', '1011110010000000', '0010010010011010', '1000001010110001', '0011000110101111', '0000101011001101', '1000001011101011', '1001011011110101', '1000010011100111', '0100000011111001', '1101101001010100', '1010011000010001', '1110011010011100', '0110000000100000', '1100001010100101', '1101101000001111', '1011001011100011', '0100001010001010', '0111111110001110', '0010101110000001', '0000011001100010']"
-7,7,4,10,0.001,1.8998855573357751,83.89512633046049,"['0000111000100010', '0110100011101111', '1110111011101111', '0001011110011110']"
-7,7,8,10,0.001,-0.03898680094605922,-0.13962016316027284,"['0010100100011100', '1010101100001000', '0101110101100100', '0101000110011100', '0010101011110000', '1100010101001000', '0000001100111110', '1101000001111101']"
-7,7,12,10,0.001,-0.06462195773250912,-0.1700578312570978,"['1110100000010111', '0110110000100111', '1000101010011011', '0101000110111010', '0010011101000111', '1010010101111000', '0100001001111010', '1001011101100010', '1110110011100011', '0111000101000100', '1011001011001001', '0110111010101111']"
-7,7,16,10,0.001,-0.0676127260242616,-0.17037852301502615,"['1011111101110111', '0001100011001010', '1011101100100010', '0101110001001001', '1110000001001000', '0010001000100011', '0100001000111000', '1101110100110100', '0011001001010001', '0010001011111001', '0100011101111011', '1101010111111110', '1111101110101011', '0000001100000000', '1000011001111011', '1001111010110111']"
-7,7,20,10,0.001,-0.0680399786373691,-0.17036879943945296,"['0110101010010100', '1111110011000100', '0010100111101100', '0000000111101110', '1011000010100111', '1100000100100110', '0100011111000110', '1100011100100011', '1000010101011101', '1111001011001101', '1000001001111110', '0010111100101001', '1100111100000101', '1100000011100001', '0110100111100111', '0100010110110100', '0000001111000000', '0011001000001000', '1101101101111001', '1110001011100011']"
-7,7,24,10,0.001,-0.0676127260242616,-0.17037852301502615,"['0001111010011110', '0111101011110000', '0001001110000010', '0000101000111011', '0011101101100011', '1111110110000000', '1101110101100110', '0010010010111011', '1000110101000110', '0100111000110010', '1111001110000011', '1011101011000001', '0111110111001111', '0101110110011010', '1110011100101111', '1110011000100100', '0100100100011101', '1101101101111011', '0011010011100001', '0100000111111000', '1111110010000110', '1011101111111010', '0100000010100000', '0011001011100100']"
-7,7,28,10,0.001,-0.0676127260242616,-0.17037852301502615,"['0110000111001100', '1111111010011000', '0000001101111101', '1001111101001101', '0100100111101001', '1101001111011001', '0011000010010110', '0001101001111010', '1000111111100011', '0101001100101001', '0101001100001001', '0111000001100011', '0000111011100001', '0101111010000100', '1010000010001101', '1100001011100100', '0111001001111010', '0011100101001010', '0100001011101101', '1010101101010100', '0011110111001111', '0110100110011011', '1100111100101011', '0011100101111110', '0000110010001101', '1100011111010000', '1011011010011011', '0100000101000110']"
